City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
110,Henties Bay,-22.116,14.2845,64.27,73,20,10.74,few clouds,NA,2022-04-17 15:50:26
111,Bandarbeyla,9.4942,50.8122,83.01,75,84,9.08,broken clouds,SO,2022-04-17 15:50:26
112,Bengkulu,-3.8004,102.2655,77.74,89,34,3.4,scattered clouds,ID,2022-04-17 15:50:26
113,Mangrūl Pīr,20.3167,77.35,94.15,12,0,5.35,clear sky,IN,2022-04-17 15:50:27
114,Pangnirtung,66.1451,-65.7125,8.02,91,100,6.29,overcast clouds,CA,2022-04-17 15:50:27
115,Kabwe,-14.4469,28.4464,67.69,80,80,6.55,broken clouds,ZM,2022-04-17 15:50:28
116,Roald,62.5833,6.1333,63.52,54,40,6.91,scattered clouds,NO,2022-04-17 15:50:28
117,Kismayo,-0.3582,42.5454,83.03,78,100,15.14,overcast clouds,SO,2022-04-17 15:50:29
118,Faanui,-16.4833,-151.75,81.18,71,10,11.3,clear sky,PF,2022-04-17 15:50:29
119,Huron,41.1501,-82.5499,38.91,62,31,11.79,scattered clouds,US,2022-04-17 15:50:30
120,Port Elizabeth,-33.918,25.5701,66.49,92,20,10.36,few clouds,ZA,2022-04-17 15:50:30
121,Corner Brook,48.9667,-57.9484,53.76,74,37,12.17,scattered clouds,CA,2022-04-17 15:50:30
122,Kānker,20.2719,81.4931,85.19,25,45,8.9,scattered clouds,IN,2022-04-17 15:50:31
123,Arrondissement de Saint-Dizier,48.4167,5.0833,65.8,61,0,13.65,clear sky,FR,2022-04-17 15:50:31
124,Luleå,65.5842,22.1547,48.27,61,0,3.44,clear sky,SE,2022-04-17 15:50:32
125,Kumano,34.3442,132.5894,53.94,63,100,4.32,overcast clouds,JP,2022-04-17 15:50:32
126,Morros,-9.4467,-46.3003,84.9,60,81,2.42,broken clouds,BR,2022-04-17 15:50:33
127,São Filipe,14.8961,-24.4956,72.21,77,49,12.86,scattered clouds,CV,2022-04-17 15:50:33
128,Vung Tau,10.346,107.0843,82.67,77,47,17.96,scattered clouds,VN,2022-04-17 15:47:11
129,Vostok,46.4856,135.8833,24.28,85,19,5.01,few clouds,RU,2022-04-17 15:50:33
130,Tauranga,-37.6861,176.1667,60.93,67,82,4.0,broken clouds,NZ,2022-04-17 15:46:16
131,Nemuro,43.3236,145.575,39.72,89,94,5.5,overcast clouds,JP,2022-04-17 15:50:34
132,Khatanga,71.9667,102.5,10.89,96,99,11.1,overcast clouds,RU,2022-04-17 15:50:34
133,Nikolskoye,59.7035,30.7861,44.49,65,88,4.27,overcast clouds,RU,2022-04-17 15:50:35
134,San-Pédro,4.7485,-6.6363,76.77,87,100,4.29,overcast clouds,CI,2022-04-17 15:50:35
135,Adrar,20.5022,-10.0711,96.31,8,4,8.3,clear sky,MR,2022-04-17 15:50:35
136,Kaitangata,-46.2817,169.8464,43.05,93,4,4.12,clear sky,NZ,2022-04-17 15:50:36
137,Korem,12.5058,39.5228,63.66,47,98,3.31,overcast clouds,ET,2022-04-17 15:50:36
138,Longyearbyen,78.2186,15.6401,21.04,86,75,8.05,light snow,SJ,2022-04-17 15:51:37
139,Chui,-33.6971,-53.4616,70.75,54,84,9.73,broken clouds,UY,2022-04-17 15:51:37
140,Caravelas,-17.7125,-39.2481,81.54,58,97,12.68,overcast clouds,BR,2022-04-17 15:51:37
141,Okhotsk,59.3833,143.3,18.93,90,100,3.96,overcast clouds,RU,2022-04-17 15:51:38
142,Labuhan,-6.8844,112.2051,81.36,81,49,4.97,scattered clouds,ID,2022-04-17 15:51:38
143,Ganta,7.3022,-8.5308,80.53,66,100,4.23,overcast clouds,LR,2022-04-17 15:51:39
144,Faya,18.3851,42.4509,72.12,42,79,6.89,moderate rain,SA,2022-04-17 15:51:39
145,La Ronge,55.1001,-105.2842,30.42,46,75,4.61,broken clouds,CA,2022-04-17 15:51:40
146,Katsuura,35.1333,140.3,57.58,74,72,6.51,broken clouds,JP,2022-04-17 15:51:40
147,Los Llanos de Aridane,28.6585,-17.9182,71.35,69,0,14.97,clear sky,ES,2022-04-17 15:51:40
148,Dera Ghazi Khan,30.0561,70.6348,93.07,8,38,2.15,scattered clouds,PK,2022-04-17 15:51:41
149,Pisco,-13.7,-76.2167,69.03,77,0,8.05,clear sky,PE,2022-04-17 15:51:41
150,Sa Kaeo,13.75,102.3333,74.97,87,100,1.97,overcast clouds,TH,2022-04-17 15:51:41
151,Bonavista,48.6499,-53.1147,40.14,70,77,23.71,broken clouds,CA,2022-04-17 15:51:42
152,Kysyl-Syr,63.8986,122.7617,27.59,83,100,12.64,overcast clouds,RU,2022-04-17 15:51:42
153,Virginia Beach,36.8529,-75.978,60.06,65,75,17.27,broken clouds,US,2022-04-17 15:47:37
154,Wolfeboro,43.584,-71.2073,45.34,48,100,10.36,overcast clouds,US,2022-04-17 15:51:43
155,Morón,-34.6534,-58.6198,71.01,67,86,6.17,overcast clouds,AR,2022-04-17 15:51:43
156,Arzgir,45.3728,44.2206,60.04,50,49,10.87,scattered clouds,RU,2022-04-17 15:51:43
157,Alta Floresta,-9.8756,-56.0861,84.02,74,75,4.61,broken clouds,BR,2022-04-17 15:51:44
158,Bontang,0.1333,117.5,81.03,82,88,8.52,overcast clouds,ID,2022-04-17 15:51:44
159,Portland,45.5234,-122.6762,47.53,78,20,6.91,few clouds,US,2022-04-17 15:51:45
160,Salto,-31.3833,-57.9667,68.88,68,68,11.01,broken clouds,UY,2022-04-17 15:51:23
161,Saskylakh,71.9167,114.0833,27.07,96,100,19.95,light snow,RU,2022-04-17 15:51:45
162,Esperance,-33.8667,121.9,55.24,60,80,10.47,broken clouds,AU,2022-04-17 15:51:46
163,Uyemskiy,64.4743,40.8524,35.65,80,40,6.71,scattered clouds,RU,2022-04-17 15:51:46
164,Turtas,58.9417,69.1325,25.52,98,75,2.57,broken clouds,RU,2022-04-17 15:51:47
165,Marawi,7.9986,124.2928,68.92,95,90,0.51,overcast clouds,PH,2022-04-17 15:51:47
166,Chengde,40.9725,117.9361,53.55,31,86,3.2,overcast clouds,CN,2022-04-17 15:51:47
167,Plettenberg Bay,-34.0527,23.3716,61.72,76,0,3.53,clear sky,ZA,2022-04-17 15:51:48
168,Oxford,51.7522,-1.256,66.36,30,0,13.8,clear sky,GB,2022-04-17 15:48:33
169,Ponta do Sol,32.6667,-17.1,76.12,39,100,12.33,overcast clouds,PT,2022-04-17 15:51:48
170,Sisimiut,66.9395,-53.6735,20.07,60,100,5.35,overcast clouds,GL,2022-04-17 15:51:49
171,Husavik,66.0449,-17.3389,41.74,93,99,6.76,overcast clouds,IS,2022-04-17 15:51:49
172,Bethel,41.3712,-73.414,48.58,45,0,13.8,clear sky,US,2022-04-17 15:51:49
173,San Felipe,10.3399,-68.7425,76.55,84,100,3.89,overcast clouds,VE,2022-04-17 15:51:50
174,Vanavara,60.34,102.2797,42.39,87,99,13.8,overcast clouds,RU,2022-04-17 15:51:50
175,Esim,4.8699,-2.2405,82.22,76,94,10.42,overcast clouds,GH,2022-04-17 15:51:51
176,Tila,17.4,-92.4833,90.16,35,4,2.73,clear sky,MX,2022-04-17 15:51:51
177,Padang,-0.9492,100.3543,79.18,88,100,3.13,light rain,ID,2022-04-17 15:51:51
178,Atuona,-9.8,-139.0333,79.02,80,43,16.93,scattered clouds,PF,2022-04-17 15:51:52
179,New Norfolk,-42.7826,147.0587,61.92,61,100,3.0,light rain,AU,2022-04-17 15:51:52
180,Nome,64.5011,-165.4064,30.27,80,100,16.11,light snow,US,2022-04-17 15:51:53
181,Kaset Sombun,16.2805,101.9542,81.18,71,100,2.06,overcast clouds,TH,2022-04-17 15:51:53
182,Dwārka,22.2394,68.9678,80.91,81,0,12.46,clear sky,IN,2022-04-17 15:51:53
183,Neyshabur,36.2133,58.7958,61.77,54,92,1.77,overcast clouds,IR,2022-04-17 15:52:54
184,Yeppoon,-23.1333,150.7333,65.98,80,6,10.45,clear sky,AU,2022-04-17 15:52:54
185,Isangel,-19.55,169.2667,75.31,83,100,2.3,heavy intensity rain,VU,2022-04-17 15:52:54
186,Cabo San Lucas,22.8909,-109.9124,85.05,49,100,4.25,overcast clouds,MX,2022-04-17 15:51:13
187,Yulara,-25.2406,130.9889,67.84,42,0,3.44,clear sky,AU,2022-04-17 15:52:55
188,Kaniama,-7.5667,24.1833,74.16,81,74,4.25,light rain,CD,2022-04-17 15:52:55
189,Hithadhoo,-0.6,73.0833,83.66,75,69,8.01,broken clouds,MV,2022-04-17 15:52:56
190,Carnarvon,-24.8667,113.6333,69.87,94,100,5.75,overcast clouds,AU,2022-04-17 15:52:56
191,Santa Maria,-29.6842,-53.8069,69.1,64,20,11.5,few clouds,BR,2022-04-17 15:52:57
192,Chapais,49.7834,-74.8492,26.38,74,100,14.43,overcast clouds,CA,2022-04-17 15:52:57
193,Giyani,-23.3025,30.7187,62.62,82,100,7.92,overcast clouds,ZA,2022-04-17 15:52:57
194,City of San Pedro,14.35,121.0167,81.63,73,75,8.05,broken clouds,PH,2022-04-17 15:52:58
195,Vardø,70.3705,31.1107,38.41,89,100,8.72,overcast clouds,NO,2022-04-17 15:52:58
196,Rabat,33.9911,-6.8401,84.04,67,100,8.05,overcast clouds,MA,2022-04-17 15:48:42
197,Saqqez,36.2499,46.2735,50.29,33,1,5.91,clear sky,IR,2022-04-17 15:52:59
198,Codrington,-38.2667,141.9667,55.87,95,100,5.77,light rain,AU,2022-04-17 15:52:59
199,Atambua,-9.1061,124.8925,74.41,89,100,3.13,overcast clouds,ID,2022-04-17 15:53:00
200,Doctor Arroyo,23.6667,-100.1833,77.65,40,97,4.94,overcast clouds,MX,2022-04-17 15:53:00
201,Xam Nua,20.4197,104.0439,65.32,97,93,2.46,overcast clouds,LA,2022-04-17 15:53:01
202,Yatou,37.15,122.3833,53.53,48,100,7.58,overcast clouds,CN,2022-04-17 15:53:01
203,Ratnagiri,16.9833,73.3,82.24,68,0,6.31,clear sky,IN,2022-04-17 15:53:02
204,Boden,65.8252,21.6886,48.2,100,100,1.45,overcast clouds,SE,2022-04-17 15:53:02
205,Leningradskiy,69.3833,178.4167,-1.23,96,37,3.31,scattered clouds,RU,2022-04-17 15:53:02
206,Chokurdakh,70.6333,147.9167,-8.91,100,48,4.56,scattered clouds,RU,2022-04-17 15:53:03
207,Dingle,10.9995,122.6711,76.41,88,57,6.49,broken clouds,PH,2022-04-17 15:53:03
208,Adela,12.4416,120.9729,78.01,80,80,4.88,broken clouds,PH,2022-04-17 15:53:04
209,Puri,19.8,85.85,84.72,84,75,22.66,broken clouds,IN,2022-04-17 15:49:17
210,Cockburn Town,21.4612,-71.1419,77.83,79,82,20.04,broken clouds,TC,2022-04-17 15:53:04
211,Ixtapa,20.7,-105.2,92.14,14,84,3.2,broken clouds,MX,2022-04-17 15:53:05
212,Mkushi,-13.6202,29.3939,66.81,87,71,7.43,broken clouds,ZM,2022-04-17 15:53:05
213,Nuuk,64.1835,-51.7216,27.88,79,97,18.01,overcast clouds,GL,2022-04-17 15:53:06
214,Moramanga,-18.9333,48.2,64.09,99,11,3.02,few clouds,MG,2022-04-17 15:53:06
215,Nizwá,22.9333,57.5333,91.78,16,86,6.4,overcast clouds,OM,2022-04-17 15:53:06
216,Fortuna,40.5982,-124.1573,43.93,95,0,5.75,clear sky,US,2022-04-17 15:48:12
217,Arlit,18.7369,7.3853,89.58,7,100,7.85,overcast clouds,NE,2022-04-17 15:53:07
218,Yenagoa,4.9247,6.2642,81.3,81,100,5.28,overcast clouds,NG,2022-04-17 15:53:07
219,Taunggyi,20.7833,97.0333,70.29,47,57,3.83,broken clouds,MM,2022-04-17 15:53:08
220,De-Kastri,51.4667,140.7833,26.6,96,100,7.47,light snow,RU,2022-04-17 15:53:08
221,Bathsheba,13.2167,-59.5167,84.81,65,40,21.85,scattered clouds,BB,2022-04-17 15:53:09
222,Tessalit,20.1986,1.0114,86.23,13,0,13.62,clear sky,ML,2022-04-17 15:53:09
223,Meulaboh,4.1363,96.1285,79.54,84,97,2.66,light rain,ID,2022-04-17 15:53:09
224,Serebryansk,49.6925,83.2892,38.61,75,74,4.21,broken clouds,KZ,2022-04-17 15:54:10
225,Majene,-3.5403,118.9707,78.57,89,100,4.85,overcast clouds,ID,2022-04-17 15:54:10
226,Aklavik,68.2191,-135.0107,3.2,60,75,5.75,broken clouds,CA,2022-04-17 15:54:11
227,Campbell River,50.0163,-125.2446,45.45,93,75,3.44,broken clouds,CA,2022-04-17 15:52:04
228,Cantaura,9.3057,-64.3584,88.7,47,99,13.18,overcast clouds,VE,2022-04-17 15:54:11
229,Tazovsky,67.4667,78.7,12.18,93,84,14.72,broken clouds,RU,2022-04-17 15:54:12
230,Norman Wells,65.282,-126.8329,-3.96,65,20,2.3,few clouds,CA,2022-04-17 15:54:12
231,Comodoro Rivadavia,-45.8667,-67.5,66.06,37,0,13.8,clear sky,AR,2022-04-17 15:54:13
232,Shima,24.4478,117.8111,64.42,68,33,3.56,scattered clouds,CN,2022-04-17 15:54:13
233,Kaz,52.9113,87.3105,50.81,71,100,3.47,overcast clouds,RU,2022-04-17 15:54:13
234,Bilibino,68.0546,166.4372,9.73,97,100,2.3,overcast clouds,RU,2022-04-17 15:54:14
235,Hambantota,6.1241,81.1185,77.34,100,20,3.44,few clouds,LK,2022-04-17 15:54:14
236,Haimen,23.1935,116.6142,66.09,77,54,16.98,broken clouds,CN,2022-04-17 15:54:14
237,Mayumba,-3.432,10.6554,81.03,80,83,7.47,broken clouds,GA,2022-04-17 15:54:15
238,Mnogovershinnyy,53.9353,139.9242,14.23,89,89,1.45,overcast clouds,RU,2022-04-17 15:54:15
239,Pringsewu,-5.3582,104.9744,74.71,96,31,1.1,scattered clouds,ID,2022-04-17 15:54:16
240,Noumea,-22.2763,166.4572,75.99,99,18,4.94,few clouds,NC,2022-04-17 15:54:16
241,Neiafu,-18.65,-173.9833,75.88,94,40,0.0,scattered clouds,TO,2022-04-17 15:54:17
242,Sungai Penuh,-2.0833,101.3833,67.41,98,100,1.5,overcast clouds,ID,2022-04-17 15:54:17
243,Lumphat,13.4878,106.9816,78.21,76,78,3.85,broken clouds,KH,2022-04-17 15:54:18
244,Paducah,37.0834,-88.6001,53.29,62,100,5.75,light rain,US,2022-04-17 15:54:18
245,Nanaimo,49.1663,-123.936,45.07,83,24,6.91,few clouds,CA,2022-04-17 15:54:18
246,Sioux Lookout,50.1001,-91.917,24.87,63,40,4.61,scattered clouds,CA,2022-04-17 15:54:19
247,Netrakona,24.8833,90.7167,70.66,85,15,9.04,few clouds,BD,2022-04-17 15:54:19
248,Turaif,31.6725,38.6637,82.65,10,0,5.75,clear sky,SA,2022-04-17 15:54:19
249,Hukuntsi,-24.0,21.75,68.09,71,59,12.53,light rain,BW,2022-04-17 15:54:20
